Fighter Name,Record,Height,Weight,Reach,Stance,SLpM,Str. Acc,SApM,Str. Def,TD Avg,TD Acc,TD Def,Sub. Avg
Claudio Ribeiro,RECORD: 11-5-0,"6' 1""",185 lbs.,"77""",Orthodox,3.59,51%,4.90,30%,0.56,50%,66%,0.0
Ludovit Klein,RECORD: 21-4-1,"5' 7""",155 lbs.,"72""",Southpaw,3.96,55%,3.74,53%,1.77,47%,83%,0.0
AJ Cunningham,RECORD: 11-4-0,"5' 10""",155 lbs.,"71""",Orthodox,7.66,29%,11.90,48%,0.00,0%,33%,0.0
Loik Radzhabov,RECORD: 18-5-1,"5' 11""",155 lbs.,"69""",Orthodox,2.93,42%,4.73,45%,6.73,57%,55%,0.0
Abdul-Kareem Al-Selwady,RECORD: 15-4-0,"5' 8""",155 lbs.,"69""",Orthodox,4.14,34%,3.60,59%,2.32,30%,20%,0.0
Brandon Royval,RECORD: 16-7-0,"5' 9""",125 lbs.,"68""",Southpaw,4.33,36%,3.42,46%,0.47,60%,40%,1.1
Brandon Moreno,RECORD: 21-8-2,"5' 7""",125 lbs.,"70""",Orthodox,3.87,44%,3.63,59%,1.74,46%,63%,0.5
Brian Ortega,RECORD: 16-3-0 (1 NC),"5' 8""",145 lbs.,"69""",Switch,4.07,38%,6.54,49%,1.17,27%,57%,1.2
Yair Rodriguez,RECORD: 16-5-0 (1 NC),"5' 11""",145 lbs.,"71""",Orthodox,4.65,46%,3.99,52%,0.69,27%,58%,0.7
Daniel Zellhuber,RECORD: 15-1-0,"6' 1""",155 lbs.,"77""",Switch,5.86,41%,5.06,56%,0.22,33%,94%,0.2
